date,trip_no,station,time_arrival,time_departure,wait_before_arrival,wait_before_departure,no_riders,no_dropoff,no_left,total_arrived,time_since_prev
2023-04-25,1,XH,6:30:17 AM,6:30:20 AM,,0:00:03,1,0,0,1,
2023-04-25,1,OC,6:32:26 AM,6:32:26 AM,0:02:06,0:00:00,0,0,0,0,
2023-04-25,1,HB,6:33:42 AM,6:35:21 AM,0:01:16,0:01:39,10,0,0,10,
2023-04-25,1,GS,6:39:01 AM,6:39:36 AM,0:03:40,0:00:35,2,0,6,8,
2023-04-25,1,JSEC,6:40:52 AM,6:41:12 AM,0:01:16,0:00:20,0,1,0,0,
2023-04-25,1,G25,6:41:33 AM,6:41:33 AM,0:00:21,0:00:00,0,0,0,0,
2023-04-25,1,LH ,6:43:10 AM,6:43:28 AM,0:01:37,0:00:18,0,6,0,0,
2023-04-25,2,XH,6:44:52 AM,6:49:02 AM,0:01:24,0:04:10,3,4,0,3,0:14:32
2023-04-25,2,OC,6:50:49 AM,6:50:49 AM,0:01:47,0:00:00,0,0,0,0,0:18:23
2023-04-25,2,HB,6:52:16 AM,6:55:36 AM,0:01:27,0:03:20,4,0,0,4,0:16:55
2023-04-25,2,GS,7:00:16 AM,7:01:32 AM,0:04:40,0:01:16,8,3,3,11,0:20:40
2023-04-25,2,JSEC,7:03:10 AM,7:03:28 AM,0:01:38,0:00:18,0,1,0,0,0:21:58
2023-04-25,2,G25,7:04:23 AM,7:04:23 AM,0:00:55,0:00:00,0,0,0,0,0:22:50
2023-04-25,2,LH ,7:05:30 AM,7:05:48 AM,0:01:07,0:00:18,0,2,0,0,0:22:02
2023-04-25,3,XH,7:07:36 AM,7:11:52 AM,0:01:48,0:04:16,1,10,0,1,0:18:34
2023-04-25,3,OC,7:14:09 AM,7:14:09 AM,0:02:17,0:00:00,0,0,0,0,0:23:20
2023-04-25,3,HB,7:15:31 AM,7:16:26 AM,0:01:22,0:00:55,11,0,1,12,0:19:55
2023-04-25,3,GS,7:24:22 AM,7:25:16 AM,0:07:56,0:00:54,5,5,5,10,0:22:50
2023-04-25,3,JSEC,7:27:16 AM,7:27:23 AM,0:02:00,0:00:07,0,0,0,0,0:23:48
2023-04-25,3,G25,7:27:44 AM,7:27:44 AM,0:00:21,0:00:00,0,0,1,1,0:23:21
2023-04-25,3,LH ,7:31:10 AM,7:31:36 AM,0:03:26,0:00:26,0,7,0,0,0:25:22
2023-04-25,4,XH,7:34:57 AM,7:39:21 AM,0:03:21,0:04:24,0,5,0,0,0:23:05
2023-04-25,4,OC,7:41:41 AM,7:42:00 AM,0:02:20,0:00:19,3,0,0,3,0:27:32
2023-04-25,4,HB,7:43:30 AM,7:44:02 AM,0:01:30,0:00:32,10,3,0,10,0:27:04
2023-04-25,4,GS,7:47:11 AM,7:47:45 AM,0:03:09,0:00:34,3,4,0,3,0:21:55
2023-04-25,4,JSEC,7:49:21 AM,7:49:21 AM,0:01:36,0:00:00,0,0,0,0,0:21:58
2023-04-25,4,G25,7:50:04 AM,7:50:13 AM,0:00:43,0:00:09,0,2,0,0,0:22:20
2023-04-25,4,LH ,8:00:04 AM,8:00:22 AM,0:09:51,0:00:18,0,3,0,0,0:28:28
2023-04-25,5,XH,8:01:27 AM,,0:01:05,,0,5,0,0,0:22:06
2023-04-26,1,XH,6:24:26 AM,6:24:31 AM,,0:00:05,3,10,0,3,
2023-04-26,1,OC,6:26:26 AM,6:26:41 AM,0:01:55,0:00:15,0,1,0,0,
2023-04-26,1,HB,6:27:29 AM,6:28:15 AM,0:00:48,0:00:46,11,1,1,12,
2023-04-26,1,GS,6:31:58 AM,6:32:34 AM,0:03:43,0:00:36,1,1,6,7,
2023-04-26,1,JSEC,6:33:51 AM,6:34:16 AM,0:01:17,0:00:25,0,2,0,0,
2023-04-26,1,G25,6:34:34 AM,6:34:51 AM,0:00:18,0:00:17,1,0,0,1,
2023-04-26,1,LH ,6:36:23 AM,6:36:40 AM,0:01:32,0:00:17,0,1,0,0,
2023-04-26,2,XH,6:37:27 AM,6:39:28 AM,0:00:47,0:02:01,0,10,0,0,0:12:56
2023-04-26,2,OC,6:41:36 AM,6:41:36 AM,0:02:08,0:00:00,0,0,0,0,0:14:55
2023-04-26,2,HB,6:42:51 AM,6:43:30 AM,0:01:15,0:00:39,10,0,0,10,0:14:36
2023-04-26,2,GS,6:47:06 AM,6:47:55 AM,0:03:36,0:00:49,2,2,0,2,0:14:32
2023-04-26,2,JSEC,6:49:37 AM,6:49:37 AM,0:01:42,0:00:00,0,0,0,0,0:15:21
2023-04-26,2,G25,6:50:08 AM,6:50:08 AM,0:00:31,0:00:00,0,0,0,0,0:15:17
2023-04-26,2,LH ,6:51:36 AM,6:51:50 AM,0:01:28,0:00:14,0,1,0,0,0:14:56
2023-04-26,3,XH,6:53:52 AM,7:00:25 AM,0:02:02,0:06:33,3,9,0,3,0:14:24
2023-04-26,3,OC,7:02:41 AM,7:02:54 AM,0:02:16,0:00:13,2,0,0,2,0:21:05
2023-04-26,3,HB,7:04:05 AM,7:06:00 AM,0:01:11,0:01:55,6,0,0,6,0:20:35
2023-04-26,3,GS,7:12:58 AM,7:13:29 AM,0:06:58,0:00:31,8,7,3,11,0:25:03
2023-04-26,3,JSEC,7:15:36 AM,7:15:52 AM,0:02:07,0:00:16,0,2,0,0,0:25:59
2023-04-26,3,G25,7:16:12 AM,7:16:12 AM,0:00:20,0:00:00,0,0,0,0,0:26:04
2023-04-26,3,LH ,7:17:45 AM,7:18:03 AM,0:01:33,0:00:18,0,2,0,0,0:25:55
2023-04-26,4,XH,7:19:28 AM,7:22:13 AM,0:01:25,0:02:45,0,8,0,0,0:19:03
2023-04-26,4,OC,7:24:11 AM,7:24:11 AM,0:01:58,0:00:00,0,0,0,0,0:21:17
2023-04-26,4,HB,7:25:34 AM,7:31:05 AM,0:01:23,0:05:31,9,0,0,9,0:19:34
